file,gps_week,gps_tow_s,time_status,sol_status,pos_type,tracked,used,horizontal_sigma_m,vertical_sigma_m,diff_age_s,station_id
gnss_raw.txt,2437,380063.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,15.2837,18.5052,1.4,1314
gnss_raw.txt,2437,380063.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,15.2837,18.5052,1.5,1314
gnss_raw.txt,2437,380063.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,15.2837,18.5052,1.6,1314
gnss_raw.txt,2437,380063.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,15.2837,18.5052,0.7,1314
gnss_raw.txt,2437,380063.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,15.2837,18.5052,0.8,1314
gnss_raw.txt,2437,380063.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,15.2837,18.5052,0.9,1314
gnss_raw.txt,2437,380064.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,1.0,1314
gnss_raw.txt,2437,380064.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,1.1,1314
gnss_raw.txt,2437,380064.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,1.2,1314
gnss_raw.txt,2437,380064.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,1.3,1314
gnss_raw.txt,2437,380064.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,1.4,1314
gnss_raw.txt,2437,380064.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,1.5,1314
gnss_raw.txt,2437,380064.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,1.6,1314
gnss_raw.txt,2437,380064.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,1.7,1314
gnss_raw.txt,2437,380064.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,0.8,1314
gnss_raw.txt,2437,380064.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,14.3402,17.3925,0.9,1314
gnss_raw.txt,2437,380065.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,1.0,1314
gnss_raw.txt,2437,380065.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,1.1,1314
gnss_raw.txt,2437,380065.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,11.3919,13.8403,1.2,1314
gnss_raw.txt,2437,380065.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,1.3,1314
gnss_raw.txt,2437,380065.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,1.4,1314
gnss_raw.txt,2437,380065.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,1.5,1314
gnss_raw.txt,2437,380065.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,1.6,1314
gnss_raw.txt,2437,380065.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,0.7,1314
gnss_raw.txt,2437,380065.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,0.8,1314
gnss_raw.txt,2437,380065.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,11.3919,13.8403,0.9,1314
gnss_raw.txt,2437,380066.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,13.8355,16.8341,1.0,1314
gnss_raw.txt,2437,380066.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,13.8355,16.8341,1.1,1314
gnss_raw.txt,2437,380066.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,13.8356,16.8341,1.2,1314
gnss_raw.txt,2437,380066.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,13.8356,16.8341,1.3,1314
gnss_raw.txt,2437,380066.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,23,22,13.8356,16.8341,1.4,1314
gnss_raw.txt,2437,380066.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,13.8356,16.8341,1.5,1314
gnss_raw.txt,2437,380066.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,13.8356,16.8341,1.6,1314
gnss_raw.txt,2437,380066.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,13.8356,16.8341,1.7,1314
gnss_raw.txt,2437,380066.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,13.8356,16.8341,0.8,1314
gnss_raw.txt,2437,380066.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,13.8356,16.8341,0.9,1314
gnss_raw.txt,2437,380067.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,22,21,8.675,10.5821,1.0,1314
